račun,naučenost,čas,count,score
10:5,1.28,4040.80,2,100
15:5,1.27,2111.00,1,100
20:5,1.07,7115.40,2,100
25:5,1.51,1778.00,1,100
30:5,0.00,0.00,0,100
35:5,1.94,3434.90,2,100
40:5,2.05,5205.90,3,100
45:5,1.51,11768.40,2,100
50:5,1.11,2443.00,1,100
6:6,0.00,0.00,0,100
12:6,0.00,0.00,0,100
18:6,0.00,0.00,0,100
24:6,0.00,0.00,0,100
30:6,0.00,0.00,0,100
36:6,0.00,0.00,0,100
42:6,0.00,0.00,0,100
48:6,0.00,0.00,0,100
54:6,0.00,0.00,0,100
60:6,0.00,0.00,0,100
7:7,0.00,0.00,0,100
14:7,0.00,0.00,0,100
21:7,0.00,0.00,0,100
28:7,0.00,0.00,0,100
35:7,0.00,0.00,0,100
42:7,0.00,0.00,0,100
49:7,0.00,0.00,0,100
56:7,0.00,0.00,0,100
63:7,0.00,0.00,0,100
70:7,0.00,0.00,0,100
8:8,0.00,0.00,0,100
16:8,0.00,0.00,0,100
24:8,0.00,0.00,0,100
32:8,0.00,0.00,0,100
40:8,0.00,0.00,0,100
48:8,0.00,0.00,0,100
56:8,0.00,0.00,0,100
64:8,0.00,0.00,0,100
72:8,0.00,0.00,0,100
80:8,0.00,0.00,0,100
9:9,0.00,0.00,0,100
18:9,0.00,0.00,0,100
27:9,0.00,0.00,0,100
36:9,0.00,0.00,0,100
45:9,0.00,0.00,0,100
54:9,0.00,0.00,0,100
63:9,0.00,0.00,0,100
72:9,0.00,0.00,0,100
81:9,0.00,0.00,0,100
90:9,0.00,0.00,0,100
10:10,1.70,7835.00,2,100
20:10,0.96,4004.00,1,100
30:10,0.73,8486.00,1,100
40:10,2.19,3769.70,2,100
50:10,1.80,1463.00,1,100
60:10,2.04,1245.00,1,100
70:10,1.94,1332.00,1,100
80:10,1.09,2503.00,1,100
90:10,1.70,4861.60,2,100
100:10,2.11,3690.60,2,100
1*1,0.00,0.00,0,200
1*2,0.00,0.00,0,200
1*3,0.00,0.00,0,200
1*4,0.00,0.00,0,200
1*5,0.00,0.00,0,200
1*6,0.00,0.00,0,200
1*7,0.00,0.00,0,200
1*8,0.00,0.00,0,200
1*9,0.00,0.00,0,200
1*10,0.00,0.00,0,200
2*1,2.36,4053.40,2,200
2*2,2.36,3158.10,2,200
2*3,2.31,2922.40,2,200
2*4,2.95,8490.68,3,200
2*5,3.06,1829.70,2,200
2*6,2.93,3474.55,3,200
2*7,2.98,5420.16,3,200
2*8,2.44,2665.40,2,200
2*9,2.39,5162.90,2,200
2*10,2.47,1145.00,1,200
3*1,1.96,3611.90,2,200
3*2,1.30,2917.00,1,200
3*3,2.21,5441.40,2,200
